Date,Created_at
85/08/24,2019-09-20 23:46:45.948999
85/08/26,2019-09-20 23:46:45.952208
85/08/27,2019-09-20 23:46:45.955819
85/08/28,2019-09-20 23:46:45.960231
85/08/29,2019-09-20 23:46:45.964000
85/08/30,2019-09-20 23:46:45.969218
85/08/31,2019-09-20 23:46:45.972269
85/09/02,2019-09-20 23:46:45.976777
85/09/03,2019-09-20 23:46:45.979911
85/09/04,2019-09-20 23:46:45.983675
85/09/05,2019-09-20 23:46:45.986586
85/09/06,2019-09-20 23:46:45.991397
85/09/07,2019-09-20 23:46:45.994863
85/09/09,2019-09-20 23:46:46.008540
85/09/10,2019-09-20 23:46:46.019399
85/09/11,2019-09-20 23:46:46.024736
85/09/12,2019-09-20 23:46:46.028344
85/09/13,2019-09-20 23:46:46.033519
85/09/14,2019-09-20 23:46:46.037587
85/09/16,2019-09-20 23:46:46.043787
85/09/17,2019-09-20 23:46:46.046805
85/09/18,2019-09-20 23:46:46.051250
85/09/19,2019-09-20 23:46:46.054669
85/09/20,2019-09-20 23:46:46.064653
85/09/21,2019-09-20 23:46:46.068421
85/09/23,2019-09-20 23:46:46.072642
85/09/24,2019-09-20 23:46:46.081948
85/09/25,2019-09-20 23:46:46.084645
85/09/26,2019-09-20 23:46:46.088128
85/09/30,2019-09-20 23:46:46.092074
85/10/01,2019-09-20 23:46:46.095639
85/10/02,2019-09-20 23:46:46.099590
85/10/03,2019-09-20 23:46:46.103371
85/10/04,2019-09-20 23:46:46.108963
85/10/05,2019-09-20 23:46:46.112200
85/10/07,2019-09-20 23:46:46.117235
85/10/08,2019-09-20 23:46:46.120842
85/10/09,2019-09-20 23:46:46.124757
85/10/11,2019-09-20 23:46:46.127894
85/10/12,2019-09-20 23:46:46.131505
85/10/14,2019-09-20 23:46:46.134421
85/10/15,2019-09-20 23:46:46.137248
85/10/16,2019-09-20 23:46:46.140932
85/10/17,2019-09-20 23:46:46.143767
85/10/18,2019-09-20 23:46:46.150975
85/10/19,2019-09-20 23:46:46.159366
85/10/21,2019-09-20 23:46:46.169181
85/10/22,2019-09-20 23:46:46.175202
85/10/23,2019-09-20 23:46:46.180083
85/10/24,2019-09-20 23:46:46.196100
85/10/28,2019-09-20 23:46:46.201458
85/10/29,2019-09-20 23:46:46.205641
85/10/30,2019-09-20 23:46:46.211285
85/11/01,2019-09-20 23:46:46.217228
85/11/02,2019-09-20 23:46:46.219656
85/11/04,2019-09-20 23:46:46.224645
85/11/05,2019-09-20 23:46:46.228559
85/11/06,2019-09-20 23:46:46.236131
85/11/07,2019-09-20 23:46:46.241760
85/11/08,2019-09-20 23:46:46.247450
85/11/09,2019-09-20 23:46:46.250603
85/11/11,2019-09-20 23:46:46.259252
85/11/13,2019-09-20 23:46:46.262451
85/11/14,2019-09-20 23:46:46.268815
85/11/15,2019-09-20 23:46:46.275538
85/11/16,2019-09-20 23:46:46.280550
85/11/18,2019-09-20 23:46:46.286226
85/11/19,2019-09-20 23:46:46.289519
85/11/20,2019-09-20 23:46:46.292945
85/11/21,2019-09-20 23:46:46.301588
