公司代號,營業收入(百萬元),毛利率(%)(營業毛利)/(營業收入),營業利益率(%)(營業利益)/(營業收入),稅前純益率(%)(稅前純益)/(營業收入),稅後純益率(%)(稅後純益)/(營業收入),年份,季度,公司名稱
1776,1099.57,17.44,3.73,4.37,3.11,102,2,展宇
1783,113.9,45.22,-2.73,0.54,0.13,102,2,和康生技
1786,95.11,54.07,13.54,15.21,17.03,102,2,科妍
1789,2524.14,54.64,33.48,34.68,29.96,102,2,台灣神隆
1802,16323.06,5.2,-8.6,-11.79,-11.67,102,2,台玻
1805,101.46,24.44,-23.42,-21.81,-22.78,102,2,寶徠
1806,3241.56,30.31,4.56,2.79,1.94,102,2,冠軍
1808,166.06,63.33,7.21,4.16,-3.97,102,2,潤隆
1809,1639.26,18.0,2.61,3.28,2.26,102,2,中釉
1810,2699.52,24.67,-1.4,1.03,1.07,102,2,和成
1817,776.81,29.4,11.91,12.06,9.58,102,2,凱撒衛浴
1902,3417.09,10.3,1.12,2.52,1.58,102,2,台紙
1903,1081.85,7.63,-5.21,-4.84,-4.84,102,2,士紙
1904,20750.52,16.86,4.42,4.23,3.13,102,2,正隆
1905,9790.72,4.62,-2.57,-2.17,-2.16,102,2,華紙
1906,305.2,14.13,-0.36,8.89,8.89,102,2,寶隆國際
1907,27679.24,14.38,0.74,1.37,0.53,102,2,永豐餘
1909,10679.77,15.45,6.52,6.29,4.58,102,2,榮成紙業
2002,173155.8,10.99,7.22,7.05,5.91,102,2,中鋼
2006,17842.0,10.12,5.86,6.73,5.64,102,2,東和鋼鐵
2007,3212.71,-6.12,-9.83,-13.04,-13.31,102,2,燁興公司
2008,585.12,-27.09,-37.37,962.84,950.33,102,2,高興昌
2009,1870.34,-2.6,-4.42,-3.53,-2.8,102,2,第一伸銅
2010,9725.93,4.51,0.04,2.19,1.79,102,2,春源鋼鐵
2012,4129.17,15.97,2.88,4.2,2.74,102,2,春雨
2013,9988.43,3.99,1.97,2.63,2.37,102,2,中鋼構
2014,20462.54,4.02,0.75,0.36,0.34,102,2,中鴻
2015,14895.66,7.36,5.12,5.47,4.59,102,2,豐興鋼鐵
2017,3039.04,4.83,-1.33,-1.72,-2.19,102,2,官田鋼
2020,2508.47,11.48,5.82,6.13,4.89,102,2,美亞鋼管
2022,5521.82,4.31,-0.98,-2.36,0.81,102,2,聚亨
2023,27256.43,6.55,2.16,1.25,1.07,102,2,燁輝
2024,979.91,11.0,4.79,3.29,3.29,102,2,志聯工業
2025,1945.96,-7.52,-9.69,-10.91,-10.91,102,2,千興
2027,18953.93,10.89,0.89,1.23,0.31,102,2,大成鋼
2028,5298.68,0.64,-1.83,-2.8,-2.8,102,2,威致鋼鐵
2029,7231.56,11.42,6.0,5.86,4.76,102,2,盛餘
